org_name,org_code,division,district,upazila,org_lvl,LAT,LON,wt
Birol Upazila Health Complex,10001200,Rangpur,Dinajpur,Biral,subdistrict,25.636288,88.5539635,3846.3756979814934
Bishwanath Upazila Health Complex,10002177,Sylhet,Sylhet,Bishwanath,subdistrict,24.839986,91.7248377,3920.9409445908327
Biswambarpur Upazila Health Complex,10002127,Sylhet,Sunamganj,Bishwambarpur,subdistrict,25.0987573,91.299939,3798.783270511153
Boalkhali Upazila Health Complex,10000740,Chattogram,Chattogram,Boalkhali,subdistrict,22.3744591,91.9192144,28855.117358040145
Boalmari Upazila Health Complex,10000095,Dhaka,Faridpur,Boalmari,subdistrict,23.3916388,89.68525749999999,3153.3797063329066
Bochaganj Upazila Health Complex,10001201,Rangpur,Dinajpur,Bochaganj,subdistrict,25.7999526,88.4665782,1987.5549553214412
Boda Upazila Health Complex,10001502,Rangpur,Panchagarh,Boda,subdistrict,26.2026511,88.554039,2243.1424339852774
Bogra 250 bed Mohammad Ali District Hospital,10001109,Rajshahi,Bogura,Bogura Sadar,tertiary,24.8356039,89.3741702,3481.571068887394
Borhanuddin Upazila Health Complex,10002004,Barishal,Bhola,Burhanuddin,subdistrict,22.4963235,90.718772,5605.078204479859
Brahmanbaria 250 Bed District Sadar Hospital,10000672,Chattogram,Brahmanbaria,Brahmanbaria Sadar,district,23.9762236,91.11117180000001,5220.6123174392615
Brahmanpara Upazila Health Complex,10000846,Chattogram,Cumilla,Brahmanpara,subdistrict,23.6133333,91.0943145,4943.148122071151
Burichong Upazila Health Complex,10000847,Chattogram,Cumilla,Burichang,subdistrict,23.5570703,91.1270572,7191.051811622812
Chaddagram Upazila Health Complex,10000852,Chattogram,Cumilla,Chauddagram,subdistrict,23.2237444,91.3137728,4483.061193314504
Chakaria Upazila Health Complex,10000918,Chattogram,Cox's Bazar,Chakaria,subdistrict,21.7617554,92.0746398,2894.1692234095863
Chandanaish Upazila Health Complex,10000748,Chattogram,Chattogram,Chandanaish,subdistrict,22.2114681,92.0101031,7020.407203588658
Chandina Upazila Health Complex,10000857,Chattogram,Cumilla,Chandina,subdistrict,23.4882887,90.9984257,6037.957462208523
Chandpur 250 Bed General Hospital,10000700,Chattogram,Chandpur,Chandpur Sadar,district,23.2231817,90.6530009,5055.745343636582
Chapai Nababganj District Hospital,10001186,Rajshahi,Chapai Nawabganj,Chapai Nababganj Sadar,district,24.5980828,88.26547479999999,3087.4699260790303
Charbhadrason Upazila Health Complex,10000098,Dhaka,Faridpur,Char Bhadrasan,subdistrict,23.563364,90.0004371,2731.92099727705
Charfession Upazila Health Complex,10002006,Barishal,Bhola,Charfession,subdistrict,22.1840322,90.7630241,2995.4362402642473
Charghat Upazila Health Complex,10001528,Rajshahi,Rajshahi,Charghat,subdistrict,24.2805649,88.7507528,4965.933011576001
Chatkhil Upazila Health Complex,10001031,Chattogram,Noakhali,Chatkhil,subdistrict,23.0600994,90.9696512,2426.1670948135634
Chatmohar Upazila Health Complex,10001479,Rajshahi,Pabna,Chatmohar,subdistrict,24.2327452,89.2869509,2479.395611054581
Chhagalnaya Upazila Health Complex,10000942,Chattogram,Feni,Chhagalnaiya,subdistrict,23.0388683,91.51629559999999,4375.018087854267
Chhatak Upazila Health Complex,10002130,Sylhet,Sunamganj,Chhatak,subdistrict,25.0345323,91.6681278,2666.4951340907355
Chilmari Upazila Health Complex,10001313,Rangpur,Kurigram,Chilmari,subdistrict,25.5812227,89.66001829999999,2814.9870813078246
Chirirbandar Upazila Health Complex,10001203,Rangpur,Dinajpur,Chirirbandar,subdistrict,25.6506696,88.7725449,4049.136649565643
Chitalmari Upazila Health Complex,10001696,Khulna,Bagerhat,Chitalmari,subdistrict,22.7954188,89.8731677,2047.5836444492675
Chittagong 250 Bed General Hospital,10000753,Chattogram,Chattogram,Kotwali,district,22.3406339,91.8377319,16644.98833593163
Chittagong Medical College Hospital,10000756,Chattogram,Chattogram,Panchlaish,tertiary,22.3592709,91.8308045,10281.520019072743
Chowgacha Upazila Health Complex,10001744,Khulna,Jashore,Chaugacha,subdistrict,23.2594433,89.02491169999999,2150.969920925032
Chowhali Upazila Health Complex,10001629,Rajshahi,Sirajganj,Chauhali,subdistrict,24.072394,89.7567693,1865.4659743232355
Chuadanga District Hospital,10001723,Khulna,Chuadanga,Chuadanga Sadar,district,23.617779,88.8733006,2877.970543737387
