rep,metric,category,inf_cat_total,pop_cat_total
159,inf,Moderate,7112562.435847785,74407564.2253418
159,inf,Mild,361383.19302286435,9362665.832557663
16,inf,High,19100636.34530581,82044795.654296875
16,inf,Moderate,10083656.908595799,73179710.3071289
16,inf,Mild,590706.4810931821,7374564.658973679
160,inf,High,22179344.36370768,82995472.12597656
160,inf,Moderate,13327139.7612608,72974476.26586914
160,inf,Mild,1030223.2701897479,6629122.228553757
161,inf,High,20822486.154549804,85026018.91308594
161,inf,Moderate,12466131.790796302,71670047.4765625
161,inf,Mild,877397.0111899615,5903004.230751023
162,inf,High,17322781.85009151,79128467.19921875
162,inf,Moderate,8290306.799571017,74685235.52062988
162,inf,Mild,464581.5351640794,8785367.900550827
163,inf,High,18564802.977881826,79099675.17871094
163,inf,Moderate,9166950.264496218,74740956.22668457
163,inf,Mild,621852.1086257602,8758439.215003952
164,inf,High,14773765.345133163,79869927.37011719
164,inf,Moderate,8107178.103495085,75684968.35473633
164,inf,Mild,542139.7253019338,7044174.895545945
165,inf,High,20145308.68642201,83663713.32519531
165,inf,Moderate,12416284.283298803,73025938.47216797
165,inf,Mild,926537.5043616933,5909418.823036179
166,inf,High,13868575.520940904,75155539.69824219
166,inf,Moderate,4745984.293116074,76627653.3838501
166,inf,Mild,283422.0035513102,10815877.538307175
167,inf,High,17989769.74770114,75877195.54980469
167,inf,Moderate,8969893.912042225,77733048.83630371
167,inf,Mild,542309.0414819258,8988826.234291062
168,inf,High,17771380.18410772,83063072.89941406
168,inf,Moderate,10410706.799539244,72248265.45825195
168,inf,Mild,709081.8130826706,7287732.262733445
169,inf,High,17541405.786017697,76430904.19140625
169,inf,Moderate,7779581.091784187,77882367.90161133
169,inf,Mild,480801.18290265463,8285798.527381882
17,inf,High,14368092.158749733,74298848.79589844
17,inf,Moderate,5929556.793747606,79748422.70935059
17,inf,Mild,377335.12948718655,8551799.115150437
170,inf,High,15686892.617088791,73598864.958984375
170,inf,Moderate,7004622.688290456,78303601.15509033
170,inf,Mild,366548.63057505,10696604.506324753
171,inf,High,19342253.39527544,77037307.28125
171,inf,Moderate,8231949.094427368,75863966.91931152
171,inf,Mild,499291.51228654734,9697796.419837937
172,inf,High,20964945.348672003,79148059.75878906
172,inf,Moderate,10804992.47024806,75032684.27783203
172,inf,Mild,686872.8459982375,8418326.583778366
173,inf,High,18601640.677128855,72242311.4086914
173,inf,Moderate,8549339.900869915,76563692.43701172
173,inf,Mild,624502.2214642123,13793066.774696335
174,inf,High,22136002.83862248,80171356.736328125
174,inf,Moderate,10475778.471270649,74427237.91833496
174,inf,Mild,682178.2744590712,8000475.965736374
175,inf,High,15076027.89453455,74686949.935546875
175,inf,Moderate,5917908.68099637,76454477.47436523
175,inf,Mild,375036.03109183145,11457643.21048735
176,inf,High,19337838.54057098,71425971.017578125
176,inf,Moderate,6469794.225984561,78406006.52453613
176,inf,Mild,319058.84775785625,12767093.078285202
177,inf,High,16852860.020512067,76660579.888671875
177,inf,Moderate,6433034.591932311,74887733.15533447
177,inf,Mild,328985.719497326,11050757.576393113
178,inf,High,19103338.786959864,81989328.3671875
178,inf,Moderate,11265066.05622651,73325780.572265625
178,inf,Mild,797619.560991405,7283961.680946335
179,inf,High,18293837.39243147,83305318.8359375
179,inf,Moderate,9749095.453775354,72177623.71044922
179,inf,Mild,655707.3229512266,7116128.074012741
18,inf,High,18648110.29784749,81673346.06347656
18,inf,Moderate,10049524.901479173,73497317.74316406
18,inf,Mild,691766.7987075766,7428406.813758835
180,inf,High,6956898.551145061,75000877.8359375
180,inf,Moderate,1772284.9147187388,76781970.34283447
180,inf,Mild,75276.48832161947,10816222.441627488
181,inf,High,18350802.15637398,75200316.19482422
181,inf,Moderate,6843935.573739515,75475726.9909668
181,inf,Mild,341817.11829700036,11923027.434608445
182,inf,High,21411981.60008868,79113477.53125
182,inf,Moderate,8438828.533646412,74357768.47888184
182,inf,Mild,493879.3236029626,9127824.610267624
183,inf,High,14840984.587634917,84771085.82324219
183,inf,Moderate,9155425.09740224,71607444.4741211
183,inf,Mild,704812.7742116185,6220540.323036179
184,inf,High,16204619.607664831,86053407.341796875
184,inf,Moderate,9601752.122780524,70170494.197265625
184,inf,Mild,721435.5671932374,6375169.08133696
185,inf,High,18742483.659361165,78722205.404296875
185,inf,Moderate,10772557.043237079,76379152.20996094
185,inf,Mild,770682.4382946229,7497713.006141648
186,inf,High,23908578.167862255,72272280.021484375
186,inf,Moderate,9959042.488115555,77519026.89733887
186,inf,Mild,502830.12017537036,12807763.701576218
187,inf,High,16036502.219710177,77244445.708984375
187,inf,Moderate,7908742.991098249,76555661.73693848
187,inf,Mild,554255.4957115789,8798963.174476609
188,inf,High,18729988.324091744,76722249.794921875
188,inf,Moderate,9928519.912806204,75773296.17919922
188,inf,Mild,661690.9085339009,10103524.646278366
189,inf,High,14535226.257401071,78335725.6796875
189,inf,Moderate,6190087.22173435,75553611.56884766
189,inf,Mild,366474.1345014042,8709733.371864304
19,inf,High,20804050.482993044,76182673.689453125
19,inf,Moderate,9060985.877402132,76423115.98815918
19,inf,Mild,448980.1386583398,9993280.942787156
190,inf,High,23116091.533565,79922335.24121094
190,inf,Moderate,12151897.461219009,74931022.14160156
190,inf,Mild,825185.8325823968,7745713.23758696
191,inf,High,15491889.813410057,78392423.04296875
191,inf,Moderate,8723073.887251014,76752521.2154541
191,inf,Mild,538738.9431434657,7454126.361976609
192,inf,High,16443704.439765202,74520970.87207031
192,inf,Moderate,5666400.335244301,75604782.6204834
192,inf,Mild,304893.8137242501,12473317.12784575
193,inf,High,22460300.20753746,79987103.28515625
193,inf,Moderate,11381060.94986121,74441455.5324707
193,inf,Mild,800035.3084579235,8170511.802772507
194,inf,High,16933597.26375836,71780179.38964844
194,inf,Moderate,4363234.100782655,77043062.37994385
194,inf,Mild,203949.87732895257,13775828.850807175
195,inf,High,21209276.51581107,81710333.82519531
195,inf,Moderate,12998796.01482429,73160845.49951172
195,inf,Mild,905803.8208894739,7727891.295692429
196,inf,High,23297507.974887513,76916413.83886719
196,inf,Moderate,11917908.33591068,76438440.5111084
196,inf,Mild,675195.7324571477,9244216.270423874
197,inf,High,21290449.841209352,83343125.630859375
197,inf,Moderate,12452625.23856465,72705048.52709961
197,inf,Mild,850660.9763585989,6550896.462440476
198,inf,High,16821587.640306648,77979167.98144531
198,inf,Moderate,8594934.384339707,74920087.32470703
198,inf,Mild,585991.9848422431,9699815.314247116
199,inf,High,13266120.790865937,76506605.580078125
199,inf,Moderate,5975787.215838237,77180865.92077637
199,inf,Mild,393683.73739835527,8911599.119544968
2,inf,High,15666462.406292886,79126187.32373047
2,inf,Moderate,6886819.776680057,74848132.33239746
2,inf,Mild,431083.2304051095,8624750.96427153
20,inf,High,22140302.65026069,80559709.48046875
20,inf,Moderate,9460257.118830185,73072637.10791016
20,inf,Mild,563737.0916608365,8966724.032020554
200,inf,High,18317514.94338686,77404354.84863281
200,inf,Moderate,9778794.330147034,76806093.56323242
200,inf,Mild,613542.4367568773,8388622.208534226
201,inf,High,22847877.141573507,79178799.48339844
201,inf,Moderate,11267238.468714176,74338575.9350586
201,inf,Mild,708752.2910553305,9081695.201942429
202,inf,High,19144699.26558114,80995693.52734375
202,inf,Moderate,9733208.285364868,74121153.3383789
202,inf,Mild,669516.7946441341,7482223.754676804
203,inf,High,15161089.437304849,82410904.1640625
203,inf,Moderate,9668902.6507366,73575643.708984375
203,inf,Mild,693986.0773285299,6612522.747352585
204,inf,High,21078486.946616944,79710464.85058594
204,inf,Moderate,8713224.47462921,72656882.76977539
204,inf,Mild,456265.1281241723,10231723.000038132
205,inf,High,20428736.055208266,82622299.12792969
205,inf,Moderate,12095787.550100653,73466930.40917969
205,inf,Mild,894985.0417148948,6509841.083290085
206,inf,High,15597169.300640667,70454839.20483398
206,inf,Moderate,2913266.842439003,72905543.22659302
206,inf,Mild,95611.23952063204,19238688.18897246
207,inf,High,17486753.617518466,83719852.79296875
207,inf,Moderate,10541546.905832356,72800966.0493164
207,inf,Mild,779458.5664366807,6078251.778114304
208,inf,High,16846078.533327375,74170092.919921875
208,inf,Moderate,5138189.530774858,77294092.93310547
208,inf,Mild,248641.135294857,11134884.767372116
209,inf,High,16544151.44832683,76215200.900390625
209,inf,Moderate,6249469.149486391,76094325.83752441
209,inf,Mild,358737.18786096823,10289543.882484421
21,inf,High,16802840.167811073,79456427.0234375
21,inf,Moderate,8579233.189455267,74561534.10913086
21,inf,Mild,581931.3628295711,8581109.4878311
210,inf,High,19743174.168459702,76482113.83496094
210,inf,Moderate,10088293.282821102,78056025.97924805
210,inf,Mild,591872.9237593864,8060930.806190476
211,inf,High,19604383.452636175,76460156.521484375
211,inf,Moderate,8342039.527042245,75540027.79614258
211,inf,Mild,556693.2927330539,10598886.302772507
212,inf,High,17803840.52207931,83393063.95605469
212,inf,Moderate,9542205.217593363,72826432.02050781
212,inf,Mild,722001.7323507194,6379574.64383696
213,inf,High,18981231.422029786,75113595.24072266
213,inf,Moderate,6966818.093422944,76896941.53820801
213,inf,Mild,379754.6029345793,10588533.841468796
214,inf,High,15679095.223505797,81670925.7109375
214,inf,Moderate,7708895.248349044,73897798.1784668
214,inf,Mild,455029.8084467841,7030346.730995163
215,inf,High,21041633.60331462,76503575.62792969
215,inf,Moderate,11560262.089830916,76192405.84558105
215,inf,Mild,755459.3157265012,9903089.146888718
216,inf,High,16567899.402215553,72855442.63671875
216,inf,Moderate,5352908.710799751,75418123.79522705
216,inf,Mild,269954.62671446416,14325504.18845366
217,inf,High,17483040.784066357,80987615.66503906
217,inf,Moderate,11170888.381358024,74660174.3137207
217,inf,Mild,946208.1038330925,6951280.641639695
218,inf,High,18756609.027493723,87425673.09765625
218,inf,Moderate,12198095.608745107,69650996.24560547
218,inf,Mild,944255.8525713901,5522401.277137741
219,inf,High,24397102.970749956,79617180.357421875
219,inf,Moderate,12566088.464904057,74123767.23876953
219,inf,Mild,850234.7535044781,8858123.024208054
22,inf,High,11647143.7597648,78709201.00488281
22,inf,Moderate,5954041.6819235105,75898789.31164551
22,inf,Mild,393185.94823661604,7991080.30387114
220,inf,High,16219765.985678958,74701948.736328125
220,inf,Moderate,5979576.4470651895,76921175.12097168
220,inf,Mild,296178.24116176454,10975946.763099656
221,inf,High,16714907.93554832,72372411.83300781
221,inf,Moderate,6610116.345389368,78748572.60546875
221,inf,Mild,413191.2842249718,11478086.181922898
222,inf,High,23247678.454570074,80787010.04785156
222,inf,Moderate,13928042.568984387,73889945.77197266
222,inf,Mild,1069956.7180721941,7922114.800575241
223,inf,High,17858142.91200395,81299947.248046875
223,inf,Moderate,10808362.98154136,74577424.72265625
223,inf,Mild,741472.5923096593,6721698.649696335
224,inf,High,17197465.267396726,69772424.14746094
224,inf,Moderate,7032294.429166328,79496134.64453125
224,inf,Mild,425600.9549420781,13330511.828407273
225,inf,High,23741741.826050323,73093155.76269531
225,inf,Moderate,12352410.799510451,77144089.34594727
225,inf,Mild,926043.5136804518,12361825.511756882
226,inf,High,20253399.231766243,76858870.08203125
226,inf,Moderate,11080833.894784996,74405536.291015625
226,inf,Mild,623239.0765653678,11334664.247352585
227,inf,High,19895197.32878359,78314187.88183594
227,inf,Moderate,9538200.659078436,74455768.67858887
227,inf,Mild,690765.4929278885,9829114.059974656
228,inf,High,20515839.476344947,74162207.232421875
228,inf,Moderate,9369739.127206033,78242369.86083984
228,inf,Mild,674882.2467854142,10194493.527137741
229,inf,High,18199746.514136717,82224050.994140625
229,inf,Moderate,9525045.497459017,72084245.70605469
229,inf,Mild,659392.4101638078,8290773.920204148
23,inf,High,18959619.214247435,74575875.22753906
23,inf,Moderate,7369283.220240009,75703967.67602539
23,inf,Mild,396128.6697061669,12319227.716835007
230,inf,High,22492549.140980035,80256257.701171875
230,inf,Moderate,10772700.450504359,74137073.767578125
230,inf,Mild,772051.3094770178,8205739.15164946
231,inf,High,19993733.710649792,76772397.45703125
231,inf,Moderate,10299691.57595066,76743721.44677734
231,inf,Mild,695315.9723704229,9082951.716590866
232,inf,High,16073717.683863228,78616302.69628906
232,inf,Moderate,7952313.129395468,74778780.80737305
232,inf,Mild,527414.2163783249,9203987.11673735
233,inf,High,16457578.5180821,78821097.00683594
233,inf,Moderate,6893116.303809529,74999956.72009277
233,inf,Mild,356076.3214308324,8778016.89347075
234,inf,High,11941265.133279854,74293396.81103516
234,inf,Moderate,4141189.1283523003,77296148.10070801
234,inf,Mild,239898.57564582984,11009525.708656296
235,inf,High,14668007.684123786,75842651.9819336
235,inf,Moderate,5589625.93552607,75851731.34020996
235,inf,Mild,270088.1858308126,10904687.298255906
236,inf,High,19106712.43441858,74309038.45703125
236,inf,Moderate,7677075.239979942,75677796.07452393
236,inf,Mild,453175.29235492746,12612236.088844284
237,inf,High,17285903.097704396,86190398.412109375
237,inf,Moderate,12285720.446508188,70630312.646484375
237,inf,Mild,930649.2804131341,5778359.56180571
238,inf,High,21834569.864798628,75867647.24609375
238,inf,Moderate,10559753.243592933,77139362.92919922
238,inf,Mild,647457.38617851,9592060.445106491
239,inf,High,15388878.440273507,78325991.04589844
239,inf,Moderate,8304709.328614314,76282760.47167969
239,inf,Mild,542340.6184468839,7990319.102821335
24,inf,High,21348589.47373688,83798621.455078125
24,inf,Moderate,11237158.695310192,71407523.34155273
24,inf,Mild,813627.3296644532,7392925.823768601
240,inf,High,11010850.966827279,63059159.267578125
240,inf,Moderate,1814698.1433759236,79226152.5776825
240,inf,Mild,51280.85798060967,20313758.77513884
241,inf,High,14391415.908053521,78837320.68066406
241,inf,Moderate,8207728.25619096,76436713.26000977
241,inf,Mild,625062.2170105046,7325036.679725632
242,inf,High,18800877.47408394,79798545.71582031
242,inf,Moderate,9440625.64644312,75007024.83215332
242,inf,Mild,675675.797818543,7793500.072425827
243,inf,High,11341654.73451949,80439948.283203125
243,inf,Moderate,6273286.073439899,74589208.95593262
243,inf,Mild,395762.0349827101,7569913.381263718
244,inf,High,15840906.235457651,73584744.16015625
244,inf,Moderate,6056439.197334037,75432370.81079102
244,inf,Mild,404267.84341539774,13581955.649452195
245,inf,High,17662051.168035395,77694802.166015625
245,inf,Moderate,8433759.618211681,75122223.07324219
245,inf,Mild,526911.0785332988,9782045.381141648
246,inf,High,18235605.480753493,83062884.6875
246,inf,Moderate,11933565.839872139,73109855.94750977
246,inf,Mild,928107.6795143947,6426329.985389695
247,inf,High,12164736.738646105,75829422.01220703
247,inf,Moderate,5431501.569960455,77026627.00915527
247,inf,Mild,314022.4464130215,9743021.599037156
248,inf,High,19542544.588494543,73419940.10253906
248,inf,Moderate,8120836.949200468,76363631.1373291
248,inf,Mild,452367.2711516573,12815499.380531296
249,inf,High,20304602.476844333,79871139.47949219
249,inf,Moderate,10108312.032511737,74592431.927734375
249,inf,Mild,652279.873298285,8135499.213172898
25,inf,High,20578353.9570174,82423951.40234375
25,inf,Moderate,11328418.602561269,73176228.59301758
25,inf,Mild,868675.0355544842,6998890.625038132
250,inf,High,15818631.653189508,73677580.015625
250,inf,Moderate,6141216.860497284,75500714.28942871
250,inf,Mild,305948.1839110132,13420776.31534575
251,inf,High,15746527.55929651,78649699.955078125
251,inf,Moderate,8506255.74650349,75358372.693359375
251,inf,Mild,595113.3508417562,8590997.97196196
252,inf,High,15949392.374357492,85769006.10058594
252,inf,Moderate,10258352.55344758,70945864.32421875
252,inf,Mild,755054.242082144,5884200.195594773
253,inf,High,21720901.79479404,82082301.423828125
253,inf,Moderate,12876476.096192786,73427316.9309082
253,inf,Mild,982963.6548215577,7089452.265663132
254,inf,High,17843983.047839332,79869839.82910156
254,inf,Moderate,7628641.099005916,73747080.38122559
254,inf,Mild,516532.5153655012,8982150.410072312
255,inf,High,18194212.474951956,79406744.87988281
255,inf,Moderate,7704818.104180785,74316666.65930176
255,inf,Mild,475735.08479331824,8875659.08121489
256,inf,High,15027608.772659933,72347619.45703125
256,inf,Moderate,5496062.432575786,78023981.77001953
256,inf,Mild,279362.2473007743,12227469.393348679
257,inf,High,15562656.021225253,80548875.623046875
257,inf,Moderate,8009785.105458778,73544774.33581543
257,inf,Mild,599525.3226174557,8505420.661537156
258,inf,High,18862690.72760165,78154125.22753906
258,inf,Moderate,10222945.567894224,75437872.27514648
258,inf,Mild,731926.6675169168,9007073.117713913
259,inf,High,17789552.92234197,79884942.86621094
259,inf,Moderate,9336954.130122183,75768302.22497559
259,inf,Mild,634038.5707791831,6945825.529212937
26,inf,High,12144600.337886542,79715449.662109375
26,inf,Moderate,5613488.16505868,75040904.81262207
26,inf,Mild,297082.73091688316,7842716.145668015
260,inf,High,18037702.359101295,77136765.431640625
260,inf,Moderate,8228786.374441001,74351072.11816406
260,inf,Mild,596924.2080704619,11111233.070594773
261,inf,High,19444476.817325845,80360088.79589844
261,inf,Moderate,8871050.33125556,73535548.67297363
261,inf,Mild,619548.4426067796,8703433.15152739
262,inf,High,17120372.75498848,81457805.40917969
262,inf,Moderate,10732232.959306143,74270898.70751953
262,inf,Mild,735768.2559869913,6870366.503700241
263,inf,High,23594755.999283552,79365173.337890625
263,inf,Moderate,12642928.245347694,74351382.3840332
263,inf,Mild,822891.9151915585,8882514.898475632
264,inf,High,17873746.67610035,78359141.50732422
264,inf,Moderate,9121776.513309333,75285593.17236328
264,inf,Mild,651514.7660221608,8954335.94071196
265,inf,High,21651876.052973177,78618759.34277344
265,inf,Moderate,8214526.520368213,74478365.22790527
265,inf,Mild,446121.2792436162,9501946.04972075
266,inf,High,14465627.38716902,74717024.8046875
266,inf,Moderate,4266741.211567629,74423723.47296143
266,inf,Mild,206190.73766167474,13458322.342750534
267,inf,High,25688601.85144664,77949262.71484375
267,inf,Moderate,10612260.014972668,73345017.86035156
267,inf,Mild,637020.8757439302,11304790.045204148
268,inf,High,19743788.520219512,86982070.328125
