sim,division,org_lvl,org_name,org_code,district,upazila,LAT,LON
6,Dhaka,subdistrict,Dhanbari Upazila Health Complex,10000595,Tangail,Dhanbari,24.6898613,89.9542883
6,Dhaka,tertiary,Dhaka Medical College Hospital,10000033,Dhaka,Shahbagh,23.7256553,90.3970882
6,Khulna,district,Narail District Hospital,10001913,Narail,Narail Sadar,23.1721187,89.49930669999999
6,Khulna,district,Satkhira District Hospital,10001926,Satkhira,Satkhira Sadar,22.7223116,89.068737
6,Khulna,district,Jhenaidah District Hospital,10001776,Jhenaidah,Jhenaidah Sadar,23.5306696,89.17223659999999
6,Khulna,subdistrict,Fakirhat Upazila Health Complex,10001701,Bagerhat,Fakirhat,22.7778718,89.70012779999999
6,Khulna,tertiary,Khulna Medical College Hospital,10001807,Khulna,Sonadanga,22.8281662,89.5371409
6,Mymensingh,district,Netrokona District Hospital,10000496,Netrakona,Netrokona Sadar,24.8715569,90.7320982
6,Rajshahi,district,Natore District Hospital,10001433,Natore,Natore Sadar,24.4098158,88.9836138
6,Rajshahi,tertiary,Bogra 250 bed Mohammad Ali District Hospital,10001109,Bogura,Bogura Sadar,24.8356039,89.3741702
6,Rangpur,subdistrict,Ranisankhail Upazila Health Complex,10001678,Thakurgaon,Ranisankail,25.9010503,88.2541796
6,Sylhet,district,Sunamganj 250 bed District Sadar Hospital,10002157,Sunamganj,Sunamganj Sadar,25.0647035,91.4108072
6,Sylhet,subdistrict,Sreemangal Upazila Health Complex,10002125,Maulvibazar,Sreemangal,24.3008631,91.7371524
7,Barishal,subdistrict,Betagi Upazila Health Complex,10001945,Barguna,Betagi,22.4136076,90.1601787
7,Barishal,subdistrict,Banaripara Upazila Health Complex,10001966,Barishal,Banaripara,22.7795615,90.160325
7,Barishal,tertiary,Sher-e-bangla Medical College Hospital,10001978,Barishal,Barishal Sadar,22.6863517,90.3614666
7,Chattogram,district,Chittagong 250 Bed General Hospital,10000753,Chattogram,Kotwali,22.3406339,91.8377319
7,Chattogram,district,Brahmanbaria 250 Bed District Sadar Hospital,10000672,Brahmanbaria,Brahmanbaria Sadar,23.9762236,91.11117180000001
7,Chattogram,subdistrict,Homna Upazila Health Complex,10000887,Cumilla,Homna,23.681142,90.7823501
7,Dhaka,district,Rajbari District Hospital,10000536,Rajbari,Rajbari Sadar,23.7495843,89.6473056
7,Dhaka,district,Narayanganj General (Victoria) Hospital,10000427,Narayanganj,Narayanganj Sadar,23.6084011,90.50326590000002
7,Dhaka,district,Madaripur District Hospital,10000263,Madaripur,Madaripur Sadar,23.1653896,90.21206480000001
7,Dhaka,subdistrict,Saltha Upazila Health Complex,10013106,Faridpur,Saltha,23.4328101,89.7825682
7,Dhaka,subdistrict,Dohar Upazila Health Complex,10000069,Dhaka,Dohar,23.6157665,90.12273909999999
7,Khulna,district,Magura District Hospital,10001876,Magura,Magura Sadar,23.4863665,89.4215122
7,Khulna,district,Kushtia 250 bed General Hospital,10001862,Kushtia,Kushtia Sadar,23.9011989,89.12426409999999
7,Khulna,district,Satkhira 250 bed Medical College Hospital,10024591,Satkhira,Satkhira Sadar,22.6901577,89.0469437
7,Khulna,subdistrict,Keshabpur Upazila Health Complex,10001760,Jashore,Keshabpur,22.9092303,89.2133973
7,Khulna,tertiary,Khulna Medical College Hospital,10001807,Khulna,Sonadanga,22.8281662,89.5371409
7,Mymensingh,tertiary,Mymensingh Medical College Hospital,10000397,Mymensingh,Mymensingh Sadar,24.7415322,90.4089228
7,Rajshahi,district,Joypurhat District Hospital,10001298,Joypurhat,Joypurhat Sadar,25.0916036,89.0489814
7,Rajshahi,district,Chapai Nababganj District Hospital,10001186,Chapai Nawabganj,Chapai Nababganj Sadar,24.5980828,88.26547479999999
7,Rangpur,district,Dinajpur 250 bed General Hospital,10001214,Dinajpur,Dinajpur Sadar,25.6258212,88.63687589999999
7,Sylhet,district,Sunamganj 250 bed District Sadar Hospital,10002157,Sunamganj,Sunamganj Sadar,25.0647035,91.4108072
7,Sylhet,tertiary,Sylhet MAG Osmani Medical College Hospital,10002195,Sylhet,Sylhet Sadar,24.9015007,91.8539274
8,Barishal,district,Barisal General Hospital,10001972,Barishal,Barishal Sadar,22.7086412,90.37027479999999
8,Barishal,district,Pirojpur District Hospital,10002067,Pirojpur,Pirojpur Sadar,22.5789637,89.97664499999999
8,Barishal,district,Bhola District Hospital,10002002,Bhola,Bhola Sadar,22.6757402,90.6557361
8,Chattogram,district,Brahmanbaria 250 Bed District Sadar Hospital,10000672,Brahmanbaria,Brahmanbaria Sadar,23.9762236,91.11117180000001
8,Chattogram,district,Cox's Bazar 250 Bed District Sadar Hospital,10000922,Cox's Bazar,Cox's Bazar Sadar,21.4409036,91.9766003
8,Chattogram,tertiary,Chittagong Medical College Hospital,10000756,Chattogram,Panchlaish,22.3592709,91.8308045
8,Dhaka,district,Madaripur District Hospital,10000263,Madaripur,Madaripur Sadar,23.1653896,90.21206480000001
8,Dhaka,district,Narsingdi District Hospital,10000452,Narsingdi,Narsingdi Sadar,23.9299304,90.7026636
8,Dhaka,subdistrict,Sreenagar Upazila Health Complex,10000341,Munshiganj,Sreenagar,23.5500127,90.29016899999999
8,Dhaka,subdistrict,Basail Upazila Health Complex,10000581,Tangail,Basail,24.2290094,90.05453469999999
8,Dhaka,tertiary,Sir Salimullah Medical College Hospital,10000056,Dhaka,Kotwali,23.7105117,90.40213089999999
8,Khulna,district,Jhenaidah District Hospital,10001776,Jhenaidah,Jhenaidah Sadar,23.5306696,89.17223659999999
8,Khulna,district,Satkhira District Hospital,10001926,Satkhira,Satkhira Sadar,22.7223116,89.068737
8,Khulna,subdistrict,Mongla Upazila Health Complex,10001707,Bagerhat,Mongla,22.4942196,89.6016171
8,Khulna,subdistrict,Dumuria Upazila Health Complex,10001799,Khulna,Dumuria,22.8098382,89.4100684
8,Khulna,tertiary,Khulna Medical College Hospital,10001807,Khulna,Sonadanga,22.8281662,89.5371409
8,Mymensingh,subdistrict,Gouripur Upazila Health Complex,10000373,Mymensingh,Gauripur,24.7708597,90.5693264
8,Rajshahi,district,Chapai Nababganj District Hospital,10001186,Chapai Nawabganj,Chapai Nababganj Sadar,24.5980828,88.26547479999999
8,Rajshahi,district,Naogaon District Hospital,10001394,Naogaon,Naogaon Sadar,24.8229713,88.9381339
8,Rangpur,tertiary,M Abdur Rahim Medical College Hospital,10002288,Dinajpur,Dinajpur Sadar,25.611899,88.65397899999999
8,Sylhet,district,"Habiganj District Hospital, Habiganj",10002071,Habiganj,Habiganj Sadar,24.373323,91.41763999999999
8,Sylhet,subdistrict,Zokiganj Upazila Health Complex,10002204,Sylhet,Zakiganj,24.8836812,92.3643505
9,Barishal,district,Barisal General Hospital,10001972,Barishal,Barishal Sadar,22.7086412,90.37027479999999
9,Barishal,subdistrict,Mirzaganj Upazila Health Complex,10002048,Patuakhali,Mirzaganj,22.3598968,90.21699219999999
9,Barishal,tertiary,Sher-e-bangla Medical College Hospital,10001978,Barishal,Barishal Sadar,22.6863517,90.3614666
9,Chattogram,district,Cox's Bazar 250 Bed District Sadar Hospital,10000922,Cox's Bazar,Cox's Bazar Sadar,21.4409036,91.9766003
9,Chattogram,district,Noakhali 250 Bed General Hospital,10001049,Noakhali,Noakhali Sadar,22.8725498,91.08850179999999
9,Chattogram,tertiary,Cumilla Medical College Hospital,10000867,Cumilla,Cumilla Adarsha Sadar,23.4515415,91.2029603
9,Dhaka,district,Madaripur District Hospital,10000263,Madaripur,Madaripur Sadar,23.1653896,90.21206480000001
9,Dhaka,district,Gopalganj 250 bed General Hospital,10002233,Gopalganj,Gopalganj Sadar,22.9982121,89.8190072
9,Dhaka,subdistrict,Austagram Upazila Health Complex,10000223,Kishoreganj,Austagram,24.2733317,91.1032314
9,Dhaka,subdistrict,Belabo Upazila Health Complex,10000436,Narsingdi,Belabo,24.1066467,90.8514301
9,Dhaka,tertiary,"Sheikh Hasina Medical College Hospital, Tangail",10024593,Tangail,Tangail Sadar,24.2636082,89.92414850000002
9,Khulna,district,Magura District Hospital,10001876,Magura,Magura Sadar,23.4863665,89.4215122
9,Khulna,district,Chuadanga District Hospital,10001723,Chuadanga,Chuadanga Sadar,23.617779,88.8733006
