org_name,org_code,division,district,upazila,agency,org_type,org_func,org_lvl,lat,lon
Bogra 250 bed Mohammad Ali District Hospital,10001109,Rajshahi,Bogura,Bogura Sadar,DGHS,200-250 bed Hospital (district hospital),Hospital/Clinic,Regional,24.8356039,89.3741702
Chapai Nababganj District Hospital,10001186,Rajshahi,Chapai Nawabganj,Chapai Nababganj Sadar,DGHS,District Hospital,Hospital/Clinic,District,24.5980828,88.26547479999999
Charghat Upazila Health Complex,10001528,Rajshahi,Rajshahi,Charghat,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.2805649,88.7507528
Chatmohar Upazila Health Complex,10001479,Rajshahi,Pabna,Chatmohar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.2327452,89.2869509
Chowhali Upazila Health Complex,10001629,Rajshahi,Sirajganj,Chauhali,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.072394,89.7567693
Dhunat Upazila Health Complex,10001115,Rajshahi,Bogura,Dhunat,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.6916734,89.535905
Dhupchachia Upazila Health Complex,10001117,Rajshahi,Bogura,Dhupchanchia,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.8761591,89.1723974
Durgapur Upazila Health Complex,10000470,Rajshahi,Rajshahi,Durgapur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.1282929,90.6786839
Faridpur Upazila Health Complex,10001481,Rajshahi,Pabna,Faridpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.1605862,89.4570565
Gabtali Upazila Health Complex,10001122,Rajshahi,Bogura,Gabtali,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.878177,89.4492502
Godagari Upazila Health Complex,10001539,Rajshahi,Rajshahi,Godagari,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.3969518,88.4107301
Gomastapur Upazila Health Complex,10001167,Rajshahi,Chapai Nawabganj,Gomastapur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.8179161,88.3237791
Gurudashpur Upazila Health Complex,10001424,Rajshahi,Natore,Gurudaspur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.3688168,89.2370634
Iswardi Upazila Health Complex,10001482,Rajshahi,Pabna,Ishwardi,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.1271941,89.0715208
Joypurhat District Hospital,10001298,Rajshahi,Joypurhat,Joypurhat Sadar,DGHS,District Hospital,Hospital/Clinic,District,25.0916036,89.0489814
Kahaloo Upazila Health Complex,10001128,Rajshahi,Bogura,Kahaloo,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.8319344,89.2693498
Kalai Upazila Health Complex,10001301,Rajshahi,Joypurhat,Kalai,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.0800353,89.19916119999999
Kamarkhanda Upazila Health Complex,10001630,Rajshahi,Sirajganj,Kamarkhanda,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.3931712,89.65340289999999
Kazipur Upazila Health Complex,10001633,Rajshahi,Sirajganj,Kazipur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.6373105,89.6446204
Khetlal Upazila Health Complex,10001303,Rajshahi,Joypurhat,Khetlal,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.0381326,89.1246986
Lalpur Upazila Health Complex,10001426,Rajshahi,Natore,Lalpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.1772071,88.96203220000001
Manda Upazila Health Complex,10001382,Rajshahi,Naogaon,Manda,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.758601,88.71154729999999
Mohadevpur Upazila Health Complex,10001388,Rajshahi,Naogaon,Mahadebpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.9215972,88.7508778
Mohanpur Upazila Health Complex,10001543,Rajshahi,Rajshahi,Mohanpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.5549788,88.6473491
Nachol Upazila Health Complex,10001168,Rajshahi,Chapai Nawabganj,Nachole,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.7326602,88.4137279
Nandigram Upazila Health Complex,10001135,Rajshahi,Bogura,Nandigram,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.6476462,89.2438969
Naogaon District Hospital,10001394,Rajshahi,Naogaon,Naogaon Sadar,DGHS,District Hospital,Hospital/Clinic,District,24.8229713,88.9381339
Natore District Hospital,10001433,Rajshahi,Natore,Natore Sadar,DGHS,District Hospital,Hospital/Clinic,District,24.4098158,88.9836138
Niamatpur Upazila Health Complex,10001395,Rajshahi,Naogaon,Niamatpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.8298601,88.5747841
Paba Upazila Health Complex,10001547,Rajshahi,Rajshahi,Paba,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.443884,88.5547879
Panchbibi Upazila Health Complex,10001305,Rajshahi,Joypurhat,Panchbibi,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.1943459,89.0409292
Patnitala Upazila Health Complex,10001402,Rajshahi,Naogaon,Patnitala,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.0497551,88.755563
Porsha Upazila Health Complex,10001405,Rajshahi,Naogaon,Porsha,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.0227385,88.4554124
Puthia Upazila Health Complex,10001551,Rajshahi,Rajshahi,Puthia,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.3715361,88.83679
Raiganj Upazila Health Complex,10001636,Rajshahi,Sirajganj,Royganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.4997791,89.5308903
Rajshahi Medical College Hospital,10001560,Rajshahi,Rajshahi,Rajpara,DGHS,Medical College Hospital,Hospital/Clinic,Regional,24.372019,88.5864259
Raninagar Upazila Health Complex,10001412,Rajshahi,Naogaon,Raninagar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.7422435,88.9602373
Santhia Upazila Health Complex,10001493,Rajshahi,Pabna,Santhia,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.0535687,89.54820740000001
Sapahar Upazila Health Complex,10001415,Rajshahi,Naogaon,Sapahar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.1238569,88.58747919999999
Sariakandi Upazila Health Complex,10001140,Rajshahi,Bogura,Sariakandi,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.8936019,89.57363629999999
"Shaheed Ziaur Rahman Medical College Hospital, Bogra",10001111,Rajshahi,Bogura,Bogura Sadar,DGHS,Medical College Hospital,Hospital/Clinic,Regional,24.8279041,89.35293879999999
Shahzadpur Upazila Health Complex,10001656,Rajshahi,Sirajganj,Shahjadpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.1567056,89.5690892
Sherpur Upazila Health Complex,10001147,Rajshahi,Bogura,Sherpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.6659425,89.41576320000001
Shibganj Upazila Health Complex,10001156,Rajshahi,Bogura,Shibganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.0053701,89.3164683
Shibganj Upazila Health Complex,10002210,Rajshahi,Chapai Nawabganj,Shibganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.0053701,89.3164683
Singra Upazila Health Complex,10001438,Rajshahi,Natore,Singra,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.5135066,89.1463035
Sirajganj 250 Bed  Bongamata Sheikh Fazilatunnesa Mujib General Hospital,10001648,Rajshahi,Sirajganj,Sirajganj Sadar,DGHS,General Hospital (not district hospital),Hospital/Clinic,District,24.4584857,89.7111754
Sonatala Upazila Health Complex,10001159,Rajshahi,Bogura,Sonatola,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.0370877,89.4972226
Sujanagar Upazila Health Complex,10001495,Rajshahi,Pabna,Sujanagar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.9387637,89.4094767
Tanore Upazila Health Complex,10001571,Rajshahi,Rajshahi,Tanore,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.575285,88.5751026
Tarash Upazila Health Complex,10001662,Rajshahi,Sirajganj,Tarash,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.4346473,89.3776149
Ullapara Upazila Health Complex,10001667,Rajshahi,Sirajganj,Ullahpara,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.3374458,89.5313268
Aditmari Upazila Health Complex,10001339,Rangpur,Lalmonirhat,Aditmari,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.9255186,89.3439373
Atwari Upazila Health Complex,10001500,Rangpur,Panchagarh,Atwari,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,26.2371141,88.4092577
Badarganj Upazila Health Complex,10001575,Rangpur,Rangpur,Badarganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.673455,89.0493125
Baliadangi Upazila Health Complex,10001671,Rangpur,Thakurgaon,Baliadangi,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,26.0967079,88.2763784
Bhurungamari Upazila Health Complex,10001308,Rangpur,Kurigram,Bhurungamari,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,26.119676,89.6648689
Birampur Upazila Health Complex,10001189,Rangpur,Dinajpur,Birampur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.3952853,88.98730169999999
Birganj Upazila Health Complex,10001193,Rangpur,Dinajpur,Birganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.880177,88.6358944
Birol Upazila Health Complex,10001200,Rangpur,Dinajpur,Biral,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.636288,88.5539635
Bochaganj Upazila Health Complex,10001201,Rangpur,Dinajpur,Bochaganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.7999526,88.4665782
Boda Upazila Health Complex,10001502,Rangpur,Panchagarh,Boda,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,26.2026511,88.554039
Chilmari Upazila Health Complex,10001313,Rangpur,Kurigram,Chilmari,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.5812227,89.66001829999999
Chirirbandar Upazila Health Complex,10001203,Rangpur,Dinajpur,Chirirbandar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.6506696,88.7725449
Debiganj Upazila Health Complex,10001506,Rangpur,Panchagarh,Debiganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,26.1163162,88.7557933
Dimla Upazila Health Complex. Nilphamari,10001442,Rangpur,Nilphamari,Dimla,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,26.1572451,88.92477269999999
Dinajpur 250 bed General Hospital,10001214,Rangpur,Dinajpur,Dinajpur Sadar,DGHS,200-250 bed Hospital (district hospital),Hospital/Clinic,District,25.6258212,88.63687589999999
Domar Upazila Health Complex,10001450,Rangpur,Nilphamari,Domar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,26.1140528,88.85360229999999
Fulbari Upazila Health Complex,10002235,Rangpur,Kurigram,Phulbari,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.5015095,88.9487077
Fulbari Upazila Health Complex,10001220,Rangpur,Dinajpur,Fulbari,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.5015095,88.9487077
Fulchari Upazila Health Complex,10001244,Rangpur,Gaibandha,Fulchhari,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.2480253,89.57703889999999
Gaibandha District Hospital,10001254,Rangpur,Gaibandha,Gaibandha Sadar,DGHS,District Hospital,Hospital/Clinic,District,25.3259361,89.5493315
Gangachara Upazila Health Complex,10001579,Rangpur,Rangpur,Gangachara,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.8544999,89.2219824
Ghoraghat Upazila Health Complex,10001224,Rangpur,Dinajpur,Ghoraghat,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.256138,89.2399243
Gobindaganj Upazila Health Complex,10001265,Rangpur,Gaibandha,Gobindaganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.1425361,89.38607449999999
Hakimpur Upazila Health Complex,10001226,Rangpur,Dinajpur,Hakimpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.2860578,89.012652
Haripur Upazila Health Complex,10001673,Rangpur,Thakurgaon,Haripur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.8336127,88.13245359999999
Hatibandha Upazila Health Complex,10001342,Rangpur,Lalmonirhat,Hatibandha,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,26.1217466,89.1411406
Jaldhaka Upazila Health Complex,10001455,Rangpur,Nilphamari,Jaldhaka,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,26.0233955,89.0058327
Kaharol Upazila Health Complex,10001227,Rangpur,Dinajpur,Kaharole,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.7934093,88.6069425
"Kaliganj Upazila Health Complex, Lalmonirhat.",10002207,Rangpur,Lalmonirhat,Kaliganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.9679222,89.2073321
Khansama Upazila Health Complex,10001230,Rangpur,Dinajpur,Khansama,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.8681559,88.7809582
Kishoreganj Upazila Health Complex,10001459,Rangpur,Nilphamari,Kishoreganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.8992894,89.0124063
Kownia Upazila Health Complex,10001580,Rangpur,Rangpur,Kaunia,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.7746905,89.42382339999999
Kurigram 250 bed District Hospital,10001317,Rangpur,Kurigram,Kurigram Sadar,DGHS,200-250 bed Hospital (district hospital),Hospital/Clinic,District,25.8072414,89.6294746
Lalmonirhat District Hospital,10001353,Rangpur,Lalmonirhat,Lalmonirhat Sadar,DGHS,District Hospital,Hospital/Clinic,District,25.9202287,89.45557660000001
M Abdur Rahim Medical College Hospital,10002288,Rangpur,Dinajpur,Dinajpur Sadar,DGHS,Medical College Hospital,Hospital/Clinic,Regional,25.611899,88.65397899999999
Mithapukur Upazila Health Complex,10001591,Rangpur,Rangpur,Mithapukur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.5717691,89.27509549999999
Nageswari Upazila Health Complex,10001322,Rangpur,Kurigram,Nageshwari,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.9648811,89.6893056
Nawabganj Upazila Health Complex,10002232,Rangpur,Dinajpur,Nawabganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.6566436,90.1645685
Nilphamari District Hospital,10001464,Rangpur,Nilphamari,Nilphamari Sadar,DGHS,District Hospital,Hospital/Clinic,District,25.9490764,88.8358417
Palashbari Upazila Health Complex,10001272,Rangpur,Gaibandha,Palashbari,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.2871676,89.3675445
Panchagarh District Hospital,10001514,Rangpur,Panchagarh,Panchagarh Sadar,DGHS,District Hospital,Hospital/Clinic,District,26.3318393,88.5556768
Parbatipur Upazila Health Complex,10001238,Rangpur,Dinajpur,Parbatipur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.6325889,88.91953269999999
Patgram Upazila Health Complex,10001355,Rangpur,Lalmonirhat,Patgram,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,26.3492592,89.01643949999999
Pirgacha Upazila Health Complex,10001594,Rangpur,Rangpur,Pirgachha,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.6562282,89.41125679999999
Pirganj Upazila Health Complex,10001603,Rangpur,Rangpur,Pirganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.4178819,89.3109818
Pirganj Upazila Health Complex,10002231,Rangpur,Thakurgaon,Pirganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.4178819,89.3109818
Rajarhat Upazila Health Complex,10001327,Rangpur,Kurigram,Rajarhat,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.8082105,89.54475099999999
Rajibpur Upazila Health Complex,10001330,Rangpur,Kurigram,Rajibpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.4443694,89.7909808
Rangpur Medical College Hospital,10001618,Rangpur,Rangpur,Rangpur Sadar,DGHS,Medical College Hospital,Hospital/Clinic,Regional,25.7670127,89.2315632
Ranisankhail Upazila Health Complex,10001678,Rangpur,Thakurgaon,Ranisankail,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.9010503,88.2541796
Rowmari Upazila Health Complex,10001333,Rangpur,Kurigram,Raumari,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.5718988,89.8325047
Sadullapur Upazila Health Complex,10001279,Rangpur,Gaibandha,Sadullapur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.3892813,89.4684573
Saidpur Upazila Health Complex,10001470,Rangpur,Nilphamari,Saidpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.7836638,88.89539420000001
Sundarganj Upazila Health Complex,10001286,Rangpur,Gaibandha,Sundarganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.5647332,89.5193852
Taraganj Upazila Health Complex,10001622,Rangpur,Rangpur,Taraganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.8107123,89.0310069
Tetulia Upazila Health Complex,10001518,Rangpur,Panchagarh,Tentulia,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,26.5170069,88.4306955
Thakurgaon District Hospital,10001687,Rangpur,Thakurgaon,Thakurgaon Sadar,DGHS,District Hospital,Hospital/Clinic,District,26.0190812,88.4669352
Ulipur Upazila Health Complex,10001338,Rangpur,Kurigram,Ulipur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.6565077,89.6243298
Ajmiriganj Upazila Health Complex,10002074,Sylhet,Habiganj,Ajmiriganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.5522744,91.2346678
Bahubal Upazila Health Complex,10002075,Sylhet,Habiganj,Bahubal,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.3391251,91.5381503
Balaganj Upazila Health Complex,10002164,Sylhet,Sylhet,Balaganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.6550741,91.83655759999999
Baniachong Upazila Health Complex,10002077,Sylhet,Habiganj,Baniachong,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.5043556,91.363973
Barlekha Upazila Health Complex,10002096,Sylhet,Maulvibazar,Barlekha,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.6937111,92.1849536
Beanibazar Upazila Health Complex,10002172,Sylhet,Sylhet,Beanibazar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.8285578,92.16258470000001
Bishwanath Upazila Health Complex,10002177,Sylhet,Sylhet,Bishwanath,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.839986,91.7248377
Biswambarpur Upazila Health Complex,10002127,Sylhet,Sunamganj,Bishwambarpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.0987573,91.299939
Chhatak Upazila Health Complex,10002130,Sylhet,Sunamganj,Chhatak,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.0345323,91.6681278
"Chunarughat Upazila Health Complex, Hobigonj.",10002078,Sylhet,Habiganj,Chunarughat,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.1993876,91.51859309999999
Companiganj Upazila Health Complex,10002209,Sylhet,Sylhet,Companiganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.0855552,91.7566198
Dakhin Surma Upazila Health Complex,10002243,Sylhet,Sylhet,Dakshin Surma,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.8292266,91.9010356
Dakshin Sunamganj Upazila Health Complex,10002134,Sylhet,Sunamganj,Dakshin Sunamganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.0658556,91.4094135
Derai Upazila Health Complex,10002136,Sylhet,Sunamganj,Derai,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.8473266,91.2339315
Dharmapasha Upazila Health Complex,10002138,Sylhet,Sunamganj,Dharampasha,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.9034455,91.0056735
Doarabazar Upazila Health Complex,10002143,Sylhet,Sunamganj,Dowarabazar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.0428276,91.567837
Fenchuganj Upazila Health Complex,10002181,Sylhet,Sylhet,Fenchuganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.6970174,91.93832689999999
Golapganj Upazila Health Complex,10002182,Sylhet,Sylhet,Golapganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.8321998,92.02894580000002
Gowainghat Upazila Health Complex,10002186,Sylhet,Sylhet,Gowainghat,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.0895214,91.9798191
"Habiganj District Hospital, Habiganj",10002071,Sylhet,Habiganj,Habiganj Sadar,DGHS,District Hospital,Hospital/Clinic,District,24.373323,91.41763999999999
Jagannathpur Upazila Health Complex,10002149,Sylhet,Sunamganj,Jagannathpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.7789419,91.5634596
Jaintapur Upazila Health Complex,10002188,Sylhet,Sylhet,Jaintiapur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.136217,92.12638249999999
Jamalganj Upazila Health Complex,10002150,Sylhet,Sunamganj,Jamalganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.9983704,91.23606579999999
Juri Upazila Health Complex,10002097,Sylhet,Maulvibazar,Juri,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.6074066,92.1269468
Kamalganj Upazila Health Complex,10002101,Sylhet,Maulvibazar,Kamalganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.3661161,91.8554594
Kanaighat Upazila Health Complex,10002189,Sylhet,Sylhet,Kanaighat,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.0120631,92.2558595
Kulaura Upazila Health Complex,10002106,Sylhet,Maulvibazar,Kulaura,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.5280084,92.03864689999999
Lakhai Upazila Health Complex,10002085,Sylhet,Habiganj,Lakhai,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.2890528,91.25586229999999
Madhabpur Upazila Health Complex,10002088,Sylhet,Habiganj,Madhabpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.0972948,91.28759889999999
Moulvibazar 250 bed District Sadar Hospital,10002116,Sylhet,Maulvibazar,Maulvibazar Sadar,DGHS,200-250 bed Hospital (district hospital),Hospital/Clinic,Regional,24.4813033,91.76596169999999
Nabiganj Upazila Health Complex,10002094,Sylhet,Habiganj,Nabiganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.5634199,91.5142679
Rajnagar Upazila Health Complex,10002119,Sylhet,Maulvibazar,Rajnagar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.5277064,91.85295149999999
Sreemangal Upazila Health Complex,10002125,Sylhet,Maulvibazar,Sreemangal,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.3008631,91.7371524
Sulla Upazila Health Complex,10002152,Sylhet,Sunamganj,Sulla,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.687275,91.1319264
Sunamganj 250 bed District Sadar Hospital,10002157,Sylhet,Sunamganj,Sunamganj Sadar,DGHS,200-250 bed Hospital (district hospital),Hospital/Clinic,District,25.0647035,91.4108072
Sylhet MAG Osmani Medical College Hospital,10002195,Sylhet,Sylhet,Sylhet Sadar,DGHS,Medical College Hospital,Hospital/Clinic,Regional,24.9015007,91.8539274
Sylhet Shahid Shamsuddin Ahmed District Hospital,10002196,Sylhet,Sylhet,Sylhet Sadar,DGHS,District Hospital,Hospital/Clinic,District,24.8991849,91.86724
Taherpur Upazila Health Complex,10002160,Sylhet,Sunamganj,Tahirpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.0990489,91.1755002
Zokiganj Upazila Health Complex,10002204,Sylhet,Sylhet,Zakiganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.8836812,92.3643505
